source,target,n_env,beta_hat,c_hat,rmse,r2,varx_ratio,pairwise_beta_sd,beta_hat_full,beta_hat_loo_mean,beta_hat_loo_sd,beta_hat_loo_min,beta_hat_loo_max,beta_hat_loo_range,diagnostic_pass
SPI1,GALNT2,4,-0.054178144066093184,0.022055455534836437,0.11063957228361396,0.5157952817718874,9.47439719550813,0.6778494891135347,-0.054178144066093184,-0.052022276876329314,0.07180117810442879,-0.15421416917483807,0.0024428971356325133,0.15665706631047058,0
SREBF2,ABCG8,4,-0.004825972421598795,0.0022831010645509883,0.0015856135769163413,0.7558792912289471,2.813135465713497,0.007620514533242146,-0.004825972421598795,-0.002448803887282039,0.006028077950350474,-0.008107777972163457,0.006086541737558293,0.01419431970972175,1
STAT1,CDC7,4,0.020326541752308185,-0.006428820948260112,0.003885643177011419,0.3013447307162187,1.6494621947567465,0.036347863342431584,0.020326541752308185,0.023310866838276517,0.01105266571150451,0.014101847606139424,0.03893351606690714,0.024831668460767717,0
STAT1,VSIR,4,-0.08310913621468992,0.039063615207172026,0.03269857334163701,0.18359358466552844,1.6494621947567465,0.3203181468282189,-0.08310913621468992,-0.09847739031829794,0.12969080285729045,-0.2654101815649365,0.0459268510678257,0.3113370326327622,0
STAT3,EPAS1,4,-0.02157034610322363,0.054017510229660115,0.060380807888977484,0.10659856266159051,1.6722177716950881,4.272772479497958,-0.02157034610322363,0.004605177323104052,0.1516005786561957,-0.1246158638226253,0.21439105672972147,0.33900692055234677,0
STAT3,JUNB,4,0.23566317117749494,-0.0524203855827347,0.060729787063275684,0.09997364937927555,1.6722177716950881,1.5198895643879937,0.23566317117749494,0.2082112954222816,0.1499664899835405,-0.013767794142658281,0.3032528450944244,0.3170206392370827,0
STAT3,TYK2,4,0.017012050203404315,-0.0004206999787635107,0.005488137281144371,0.0008752823401162457,1.6722177716950881,1.1769039338697462,0.017012050203404315,0.017650391357501176,0.016059285030585423,-0.00319706655233727,0.03491865522115355,0.03811572177349082,0
TP53,KCNMA1,4,-0.02910791579354929,0.006214764512958825,0.0162120175116863,0.1944527587876853,2.0995228728924995,0.10347942416390829,-0.02910791579354929,-0.03790489684786756,0.044815480157869805,-0.10342449048996066,-0.0029133067807272997,0.10051118370923337,0
TP53,SEC14L2,4,0.026009125604540672,-0.002924350126933084,0.004074261406948102,0.45836734237227283,2.0995228728924995,0.02735345815727968,0.026009125604540672,0.023723180469235626,0.009538642694649569,0.010126623615521798,0.032404347614673326,0.022277723999151528,0
TP53,USP9X,4,0.06843807187104387,-0.0027778728883423027,0.003163337073614369,0.5588344982581834,2.0995228728924995,0.019955187551412127,0.06843807187104387,0.06674517449242255,0.009031614172420864,0.05352024933526994,0.07355295473628283,0.020032705401012887,1
VDR,CD14,4,0.2644356648467137,-0.031321511830998634,0.1785239446955177,0.05444923554037184,1.9008764414407269,1.4920313744015898,0.2644356648467137,0.19161690076761942,0.536808214654039,-0.5590542375624946,0.7150535226948045,1.2741077602572992,0
ZBTB33,RBM15,4,0.02415017642872032,-0.0008050884837342934,0.0010231997317457179,0.7195841530642886,1.648214584290575,0.0643676397661466,0.02415017642872032,0.024947517627034718,0.002124543400031684,0.022571808799692613,0.027514852683106168,0.004943043883413555,1
ZNF263,CASZ1,4,-0.0033397643972613764,0.002369330603509218,0.009844316049022745,0.2627070693313125,2.3035056575753026,0.1925164530301878,-0.0033397643972613764,-0.003600336605687801,0.02061900290023596,-0.030505558201993778,0.019576007873536104,0.05008156607552988,0
ZNF263,SSBP3,4,-0.030611241609576966,0.006366398521965853,0.007668354488141774,0.8091492404294731,2.3035056575753026,0.0789727660868636,-0.030611241609576966,-0.03274690579522794,0.012154097372091732,-0.04705071140705047,-0.01882066700940596,0.02823004439764451,1
